1%	-$94,516.52	-$86,568.71	-$7,947.81	
2%	-$54,867.26	-$54,668.73	-$198.53	
3%	-$35,734.82	-$37,090.92	$1,356.10	
4%	-$25,936.24	-$27,378.49	$1,442.25	
5%	-$18,386.58	-$18,461.51	$74.93	
6%	-$11,926.06	-$12,511.27	$585.21	
7%	-$7,469.49	-$8,587.91	$1,118.42	
8%	-$3,835.64	-$5,530.74	$1,695.10	
9%	-$1,832.38	-$3,006.05	$1,173.67	
10%	-$466.58	-$1,027.74	$561.16	
11%	$3.43	$0.00	$3.43	
12%	$178.20	$55.62	$122.58	220.4%
13%	$502.44	$351.98	$150.46	42.7%
14%	$860.92	$731.83	$129.09	17.6%
15%	$1,577.19	$1,171.72	$405.47	34.6%
16%	$2,592.80	$1,663.06	$929.74	55.9%
17%	$3,452.04	$2,504.57	$947.47	37.8%
18%	$4,480.43	$3,424.78	$1,055.65	30.8%
19%	$5,378.37	$4,336.03	$1,042.34	24.0%
20%	$6,368.35	$5,122.40	$1,245.95	24.3%
21%	$7,363.47	$6,014.88	$1,348.59	22.4%
22%	$8,511.79	$6,857.08	$1,654.71	24.1%
23%	$9,689.16	$8,164.45	$1,524.71	18.7%
24%	$10,777.34	$9,541.72	$1,235.62	12.9%
25%	$12,430.11	$10,935.46	$1,494.65	13.7%
26%	$14,197.79	$12,199.63	$1,998.16	16.4%
27%	$16,060.99	$13,923.50	$2,137.49	15.4%
28%	$18,106.62	$15,978.06	$2,128.56	13.3%
29%	$20,340.88	$18,031.99	$2,308.89	12.8%
30%	$23,695.62	$20,021.57	$3,674.05	18.4%
31%	$27,250.07	$22,427.13	$4,822.94	21.5%
32%	$30,994.35	$24,682.34	$6,312.01	25.6%
33%	$36,382.96	$27,841.84	$8,541.12	30.7%
34%	$40,616.62	$30,404.13	$10,212.49	33.6%
35%	$45,081.82	$33,134.61	$11,947.21	36.1%
36%	$50,409.19	$36,510.44	$13,898.75	38.1%
37%	$55,408.58	$40,527.70	$14,880.88	36.7%
38%	$59,543.95	$44,078.86	$15,465.09	35.1%
39%	$63,103.90	$48,183.46	$14,920.44	31.0%
40%	$67,469.07	$52,453.46	$15,015.61	28.6%
41%	$71,802.48	$57,439.70	$14,362.78	25.0%
42%	$75,801.39	$62,431.18	$13,370.21	21.4%
43%	$80,406.68	$67,139.44	$13,267.24	19.8%
44%	$84,408.20	$71,701.49	$12,706.71	17.7%
45%	$89,548.35	$76,582.83	$12,965.52	16.9%
46%	$94,983.20	$82,329.37	$12,653.83	15.4%
47%	$100,589.66	$87,213.79	$13,375.87	15.3%
48%	$106,335.51	$92,619.88	$13,715.63	14.8%
49%	$114,194.83	$98,251.79	$15,943.04	16.2%
50%	$121,411.37	$103,797.84	$17,613.53	17.0%
51%	$127,446.43	$109,193.87	$18,252.56	16.7%
52%	$134,207.73	$114,296.85	$19,910.88	17.4%
53%	$141,621.65	$120,432.34	$21,189.31	17.6%
54%	$150,028.88	$127,857.43	$22,171.45	17.3%
55%	$158,430.46	$135,588.59	$22,841.87	16.8%
56%	$167,469.68	$145,059.28	$22,410.40	15.4%
57%	$174,943.76	$154,223.63	$20,720.13	13.4%
58%	$182,100.06	$162,388.05	$19,712.01	12.1%
